Province/State,Country/Region,Lat,Long,Date,Observation,Observation Type
New South Wales,Australia,-33.8688,151.2093,2020-02-09,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-09,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-10,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-10,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-11,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-11,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-12,2,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-12,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-13,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-13,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-14,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-14,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-15,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-15,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-16,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-16,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-17,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-17,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-18,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-18,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-19,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-19,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-20,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-20,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-21,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-21,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-22,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-22,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-23,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-23,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-24,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-24,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-25,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-25,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-26,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-26,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-27,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-27,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-28,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-28,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-02-29,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-02-29,4,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-01,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-01,6,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-02,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-02,6,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-03,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-03,13,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-04,1,Death
New South Wales,Australia,-33.8688,151.2093,2020-03-04,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-04,22,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-05,1,Death
New South Wales,Australia,-33.8688,151.2093,2020-03-05,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-05,22,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-06,1,Death
New South Wales,Australia,-33.8688,151.2093,2020-03-06,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-06,26,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-07,1,Death
New South Wales,Australia,-33.8688,151.2093,2020-03-07,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-07,28,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-08,2,Death
New South Wales,Australia,-33.8688,151.2093,2020-03-08,4,Recovered
New South Wales,Australia,-33.8688,151.2093,2020-03-08,38,Confirmed
New South Wales,Australia,-33.8688,151.2093,2020-03-09,2,Death
