Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
South Africa,2020-05-15 14:32:16,-30.5595,22.9375,12739.0,238.0,5676.0,6825.0,21.47914580477161,,,1.86827851479708,710,ZAF
South Sudan,2020-05-15 14:32:16,6.8770000000000024,31.307,231.0,1.0,3.0,227.0,2.0636554628042183,,,0.4329004329004329,728,SSD
Sri Lanka,2020-05-15 14:32:16,7.873054,80.77179699999998,925.0,9.0,477.0,439.0,4.319755291700233,,,0.972972972972973,144,LKA
Sudan,2020-05-15 14:32:16,12.8628,30.2176,1964.0,91.0,205.0,1668.0,4.478980025869987,,,4.633401221995927,729,SDN
Suriname,2020-05-15 14:32:16,3.9193,-56.0278,10.0,1.0,9.0,0.0,1.7046403720207148,,,10.0,740,SUR
Syria,2020-05-15 14:32:16,34.802075,38.99681500000001,48.0,3.0,29.0,16.0,0.27427541720290843,,,6.25,760,SYR
Taiwan*,2020-05-15 14:32:16,23.7,121.0,440.0,7.0,387.0,46.0,1.8474373629511127,,,1.5909090909090908,158,TWN
Tajikistan,2020-05-15 14:32:16,38.861034000000004,71.276093,1118.0,33.0,0.0,1085.0,11.721974886455165,,,2.9516994633273703,762,TJK
Tanzania,2020-05-15 14:32:16,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757,,,4.12573673870334,834,TZA
Thailand,2020-05-15 14:32:16,15.870032,100.992541,3025.0,56.0,2854.0,115.0,4.333812254210166,,,1.851239669421488,764,THA
Timor-Leste,2020-05-15 14:32:16,-8.874217,125.727539,24.0,0.0,24.0,0.0,1.8203303596214317,,,0.0,626,TLS
Togo,2020-05-15 14:32:16,8.6195,0.8248,238.0,11.0,96.0,131.0,2.8748346517107617,,,4.621848739495798,768,TGO
Trinidad and Tobago,2020-05-15 14:32:16,10.6918,-61.2225,116.0,8.0,107.0,1.0,8.288727830332599,,,6.896551724137932,780,TTO
Tunisia,2020-05-15 14:32:16,33.886917,9.537499,1032.0,45.0,770.0,217.0,8.731985414876764,,,4.3604651162790695,788,TUN
Turkey,2020-05-15 14:32:16,38.9637,35.2433,144749.0,4007.0,104030.0,36712.0,171.62746180248828,,,2.768240195096339,792,TUR
Uganda,2020-05-15 14:32:16,1.373333,32.290275,160.0,0.0,63.0,97.0,0.34979558820314377,,,0.0,800,UGA
Ukraine,2020-05-15 14:32:16,48.3794,31.1656,17330.0,476.0,4473.0,12381.0,39.62613869985427,,,2.7466820542412003,804,UKR
United Arab Emirates,2020-05-15 14:32:16,23.424076,53.847818000000004,21831.0,210.0,7328.0,14293.0,220.72919194370297,,,0.9619348632678302,784,ARE
Uruguay,2020-05-15 14:32:16,-32.5228,-55.7658,724.0,19.0,547.0,158.0,20.842167504815432,,,2.624309392265193,858,URY
Uzbekistan,2020-05-15 14:32:16,41.377491,64.585262,2652.0,11.0,2136.0,505.0,7.923703223372629,,,0.4147812971342384,860,UZB
Venezuela,2020-05-15 14:32:16,6.4238,-66.5897,455.0,10.0,220.0,225.0,1.600087607434014,,,2.1978021978021984,862,VEN
Vietnam,2020-05-15 14:32:16,14.058323999999999,108.277199,312.0,0.0,260.0,52.0,0.3205306574064264,,,0.0,704,VNM
West Bank and Gaza,2020-05-15 14:32:16,31.9522,35.2332,375.0,2.0,310.0,63.0,7.350900220644621,,,0.5333333333333333,275,PSE
Western Sahara,2020-05-15 14:32:16,24.2155,-12.8858,6.0,0.0,6.0,0.0,1.004469891015017,,,0.0,732,ESH
Yemen,2020-05-15 14:32:16,15.552726999999999,48.516388,85.0,12.0,1.0,72.0,0.2849865593633038,,,14.117647058823529,887,YEM
Zambia,2020-05-15 14:32:16,-13.133897,27.849332,654.0,7.0,124.0,523.0,3.5574497676125856,,,1.0703363914373092,894,ZMB
Zimbabwe,2020-05-15 14:32:16,-19.015438,29.154857,37.0,4.0,13.0,20.0,0.2489415442866671,,,10.810810810810812,716,ZWE
