index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
11,Albania,5,42.0,1.0,0.0,41.0,42.0,0.023809523809523808,0.0,1.0,0.0,-69.0,-1.7582417582417582,inf
4,Afghanistan,5,16.0,0.0,0.0,16.0,16.0,0.0,0.0,-1.0,0.0,-26.0,-0.6231884057971014,-2.0
753,Oman,5,15.0,0.0,2.0,13.0,13.0,0.0,0.13333333333333333,0.0,2.0,-1.0,-0.9615384615384616,-1.0
856,San Marino,5,42.0,2.0,0.0,40.0,42.0,0.047619047619047616,0.0,2.0,-2.0,27.0,-28.0,inf
742,North Macedonia,5,28.0,0.0,2.0,26.0,26.0,0.0,0.07142857142857142,-2.0,2.0,-14.0,-1.5185185185185186,-2.0
563,Italy,5,229.0,7.0,1.0,221.0,228.0,0.03056768558951965,0.004366812227074236,7.0,-1.0,201.0,-15.357142857142858,-4.5
89,Azerbaijan,5,37.0,1.0,9.0,27.0,28.0,0.02702702702702703,0.24324324324324326,-6.0,8.0,-192.0,-1.955223880597015,-1.8571428571428572
489,Indonesia,5,137.0,6.0,6.0,125.0,131.0,0.043795620437956206,0.043795620437956206,5.0,-3.0,100.0,-1.5208333333333335,-1.8333333333333335
1018,Taiwan*,5,77.0,1.0,22.0,54.0,55.0,0.012987012987012988,0.2857142857142857,-5.0,16.0,-60.0,-1.6,-2.0
736,New Zealand,5,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0,-22.0,-71.0,0.18333333333333335,-0.8
183,China,5,2863.0,82.0,58.0,2723.0,2805.0,0.028641285365001747,0.020258470136220747,82.0,58.0,2857.0,-41.23943661971831,-83.0
251,Croatia,5,9.0,0.0,0.0,9.0,9.0,0.0,0.0,-82.0,-58.0,-2854.0,-1.9989499474973749,-2.0
472,India,5,45.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,45.0,36.0,-1.0126138752627891,-1.0
818,Poland,5,99.0,2.0,0.0,97.0,99.0,0.020202020202020204,0.0,2.0,-45.0,54.0,0.5,inf
292,Egypt,5,30.0,0.0,2.0,28.0,28.0,0.0,0.06666666666666667,-2.0,2.0,-69.0,-2.2777777777777777,-2.0
133,Brunei,5,54.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,-2.0,24.0,-1.3478260869565217,-1.0
35,Argentina,5,17.0,1.0,0.0,16.0,17.0,0.058823529411764705,0.0,1.0,0.0,-37.0,-2.541666666666667,inf
714,Morocco,5,6.0,1.0,0.0,5.0,6.0,0.16666666666666666,0.0,0.0,0.0,-11.0,-0.7027027027027026,-1.0
44,Armenia,5,52.0,0.0,0.0,52.0,52.0,0.0,0.0,-1.0,0.0,46.0,-5.181818181818182,-inf
352,Georgia,5,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,-22.0,-1.4782608695652173,-1.0
499,Iran,5,61.0,12.0,0.0,49.0,61.0,0.19672131147540983,0.0,12.0,-6.0,27.0,5.75,inf
29,Andorra,5,39.0,0.0,1.0,38.0,38.0,0.0,0.02564102564102564,-12.0,1.0,-22.0,-1.8148148148148149,-2.0
786,Panama,5,55.0,1.0,0.0,54.0,55.0,0.01818181818181818,0.0,1.0,-1.0,16.0,-1.7272727272727273,-1.0833333333333333
462,Iceland,5,26.0,0.0,0.0,26.0,26.0,0.0,0.0,-1.0,0.0,-29.0,-2.8125,-2.0
245,Costa Rica,5,22.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,-4.0,-0.8620689655172413,-1.0
138,Bulgaria,5,52.0,2.0,0.0,50.0,52.0,0.038461538461538464,0.0,2.0,-2.0,40.0,-5.0,inf
965,Sweden,5,14.0,0.0,0.0,14.0,14.0,0.0,0.0,-2.0,0.0,-38.0,-1.95,-2.0
